"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 02 22:55:49 IST 2022","Mon May 02 22:55:49 IST 2022","73","","The Automation Practice Website: As a user , I want to  load  this Website and navigate to create account page","","The Automation Practice Website: As a user , I want to  load  this Website and navigate to create account page","Then i should successfully navigate to create account page , should see heading AUTHENTICATION","Then i should successfully navigate to create account page , should see heading AUTHENTICATION",""
"passed","Tue May 03 14:07:40 IST 2022","Tue May 03 14:08:00 IST 2022","20087","","The Automation Practice Website: As a user , I want to  login to  this Website and add ptoduct","","The Automation Practice Website: As a user , I want to  login to  this Website and add ptoduct","When i select the dress Printed Summer Dress and click on add to cart","When i select the dress Printed Summer Dress and click on add to cart",""
"passed","Mon May 02 18:35:47 IST 2022","Mon May 02 18:35:55 IST 2022","8159","","The Automation Practice Website: As a user, I want to login to this website and register","","The Automation Practice Website: As a user, I want to login to this website and register","And i enter valid email address testuser1.04.23@gmail.com","And i enter valid email address testuser1.04.23@gmail.com",""
"passed","Tue May 03 18:00:15 IST 2022","Tue May 03 18:00:15 IST 2022","1","","The Automation Practice Website: As a user , I want to  login to  this Website and add ptoduct","","The Automation Practice Website: As a user , I want to  login to  this Website and add ptoduct","","",""
"passed","Mon May 02 18:36:11 IST 2022","Mon May 02 18:36:11 IST 2022","0","","The Automation Practice Website: As a user, I want to login to this website and register","","The Automation Practice Website: As a user, I want to login to this website and register","","",""
"passed","Mon May 02 18:35:23 IST 2022","Mon May 02 18:35:46 IST 2022","23324","","The Automation Practice Website: As a user, I want to login to this website and register","","The Automation Practice Website: As a user, I want to login to this website and register","Given I open the browser and load the url ""http://automationpractice.com/index.php""","Given I open the browser and load the url ""http://automationpractice.com/index.php""",""
"passed","Mon May 02 22:55:48 IST 2022","Mon May 02 22:55:49 IST 2022","263","","The Automation Practice Website: As a user , I want to  load  this Website and navigate to create account page","","The Automation Practice Website: As a user , I want to  load  this Website and navigate to create account page","When i enter valid email address testuser1.04.22@gmail.com in the textbox","When i enter valid email address testuser1.04.22@gmail.com in the textbox",""
"passed","Sun May 01 20:43:27 IST 2022","Sun May 01 20:43:33 IST 2022","5822","","The Automation Practice Website: As a user,i want to  login to this Website and create account","","The Automation Practice Website: As a user,i want to  login to this Website and create account","Then i should see a header with text CREATE AN ACCOUNT displayed on current page","Then i should see a header with text CREATE AN ACCOUNT displayed on current page",""
"passed","Sun May 01 19:54:04 IST 2022","Sun May 01 19:54:04 IST 2022","163","","The Automation Practice Website: As a user,i want to  login to this Website","","The Automation Practice Website: As a user,i want to  login to this Website","Then I should see a header with text Automation Practice Website","Then I should see a header with text Automation Practice Website",""
"passed","Tue May 03 15:52:00 IST 2022","Tue May 03 15:52:11 IST 2022","10061","","The Automation Practice Website: As a user , I want to  login to  this Website and add ptoduct","","The Automation Practice Website: As a user , I want to  login to  this Website and add ptoduct","When i click on the dresses menu","When i click on the dresses menu",""
